country,iso,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Congo,COG,32807.97088934755,32324.451483979137,32153.77623968303,32174.720762717356,32993.23736480137,33375.34751678442,33495.689118181304,33619.18830268808,32684.32363236276,32485.75960325784,31865.348976644877,30545.42004697565,29682.815096231767,29460.35556234223,29145.344294525195,29001.94258062525,28427.20653564155,28079.47478021079,27741.655032611143,27349.250084683652,27004.837498760957,26456.743347072792,26287.60600450347,26026.4577108082,25899.97179301177,25734.92503114811,25469.222330896257,25397.679851711822
Costa Rica,CRI,17726.29637618215,17641.202760698343,17629.71902463993,17508.663202976935,17756.096777352286,17925.28093046402,17388.85818660657,17307.835613207113,17230.368167106426,17220.501972859252,16670.354819370747,16687.96511134995,16478.990908105687,16401.86062397467,16289.93426590199,15816.44959573434,15956.098727296008,15271.512469699685,15304.107587065528,15294.58333765582,15872.7715807503,15608.594297648851,15479.207661874398,15403.606582218225,15344.403332876596,15468.416385182598,15756.037195532936,15757.823116907166
Cote d'Ivoire,CIV,24936.685941392112,25040.92798183434,25238.69003320683,25624.52104404779,25935.575410352456,26233.9678272584,26338.937914586375,26337.09665940129,26428.893283723915,26488.776258479695,26529.501900047653,26342.524963749547,26131.327668478465,26003.702105420773,25921.956085532012,25853.23749810003,25817.387963184257,25536.445655217987,25122.03315889429,24774.795185850755,24539.87083604285,24359.54926223287,24423.28231619134,24410.391814233153,24272.69498456488,24063.630947163,23712.10570614172,23358.261652847716
Croatia,HRV,23384.280456868135,22966.3190411704,22737.15308783598,22524.568394866263,22323.822453852757,22236.107510158068,22445.772207409773,22626.802267512056,22191.421883445753,21950.536614091605,21337.290412434737,21077.483059540067,21015.298243660774,20996.36855832698,20451.4509096682,20431.15619010887,20148.099489288677,20262.591181397525,20235.54042576653,19627.08079194976,19296.952322534857,19028.12632222457,18759.925739912767,18273.113877570813,18289.33778201419,18486.33441984166,17817.379270926056,17556.838712759305
Cuba,CUB,19632.025928221257,19477.89035629586,19491.354709223768,19530.8152836151,19491.55326059545,19329.901932990462,18989.085275670594,18654.833531518347,18556.582148887173,18341.84556068341,17979.036330020852,17810.38939282309,17299.943145930236,17324.28342481444,17323.222211908935,17424.77146366936,16977.017018697592,16968.939002758954,17028.5180881392,17026.342981957998,16990.351065308194,16536.89160784944,16694.37566999015,16708.74632792865,16726.74507033373,16942.28981222955,16916.08210673791,16815.811929657782
Cyprus,CYP,19608.28440152579,19423.275743520622,19201.723020587637,18979.338184904067,18849.748593691373,18728.54672251637,18750.370554797253,18937.93087554499,18954.02006276152,18847.977425358647,18808.77590175468,18590.69431922277,18423.985082704818,18229.30742938768,18042.16100369759,17745.270601968583,17431.559030201046,17174.748050819304,16808.99309508101,16529.203555744763,16225.902468564318,15919.394554540097,15676.40377254509,15526.509474889785,15418.323963492045,15309.632334859416,15181.193445270656,15129.345380330824
Czechia,CZE,25547.69576230077,24776.840934439188,24204.616228798837,23426.306718599848,23085.79973320593,22884.322532823757,22144.117978473605,21968.11732492529,21303.39848120625,20956.361214331893,20725.56545296115,20380.91600026363,20135.09635807555,20188.82850018913,19638.95949737417,19345.59023556421,18842.856412136203,18617.097511839,18474.69817187521,18235.402689620623,18028.11300500324,17859.997952359154,17657.083159485108,17443.046707454145,17094.91328906652,17045.118991088835,16920.281400234195,16824.41347170012
Democratic Republic of Congo,COD,27301.794853485368,27364.64711192226,27314.239131761464,27178.560740586112,27126.95041154762,27209.601936437823,27459.439634463844,27026.945624770964,27022.005498782422,26883.569098030443,26827.99429182645,26725.390840434564,26429.00673493131,26488.6749443291,26168.644758270148,25861.61926174349,25761.323961505168,25666.18067412532,25703.055978452743,25712.888172095576,25689.38941125205,25666.47749897981,25603.11980849825,25395.00075152743,25214.075615140213,25064.313246080932,24852.01647477279,24694.990689561535
Denmark,DNK,21574.21387373508,21263.33537895305,21190.09557919188,21201.344127720913,21262.64474062519,21115.206832563123,20896.54610381686,20590.47094515996,20195.579944273308,20478.506266408003,19808.8924706128,19644.540364437835,19614.069823918107,19336.13055716756,18997.06933789061,18566.303759600687,18544.760353913774,18483.61120711589,18102.623723370176,17890.837849705807,17660.15261596658,17222.38570758606,16954.040446402716,16757.453597837917,16546.70767092939,16414.621834129135,16486.831438338944,16542.419532256117
Djibouti,DJI,25840.57489101125,26198.532470514783,26726.238181694356,26865.229269963264,26970.60430815886,27094.862849811885,27139.661067357058,26951.071890061517,26633.37785754479,26168.618607225257,25662.58489258001,25140.66382125493,24722.10370133628,24403.48060922672,24177.56058886207,23846.115631633445,23618.596897545325,23354.31004173666,23021.90062017249,22784.634959632214,22519.07693437008,22291.90827775587,22116.66563551672,21942.493035892432,21813.248431371187,21644.19349402627,21540.431804337433,21367.24922093132
