country,Code,median
South-Central Asia,NA,27.6
South-Eastern Asia,NA,30
Southern Africa,NA,26.700001
Southern Asia,NA,27.6
Southern Europe,NA,45.900002
Spain,ESP,45.5
Sri Lanka,LKA,34.099998
Sub-Saharan Africa,NA,18.700001
Sudan,SDN,19.700001
Suriname,SUR,29.6
Sweden,SWE,41
Switzerland,CHE,43.099998
Syria,SYR,21.700001
Taiwan,TWN,42.200001
Tajikistan,TJK,23.299999
Tanzania,TZA,17.700001
Thailand,THA,40.099998
Timor,TLS,18
Togo,TGO,19.4
Tonga,TON,22.299999
Trinidad and Tobago,TTO,36.200001
Tunisia,TUN,32.700001
Turkey,TUR,31.6
Turkmenistan,TKM,26.9
Uganda,UGA,16.4
Ukraine,UKR,41.400002
United Arab Emirates,ARE,34
United Kingdom,GBR,40.799999
United States,USA,38.299999
United States Virgin Islands,VIR,42.200001
Upper middle income,NA,35.599998
Uruguay,URY,35.599998
Uzbekistan,UZB,28.200001
Vanuatu,VUT,23.1
Venezuela,VEN,29
Vietnam,VNM,32.599998
Western Africa,NA,18.200001
Western Asia,NA,27.799999
Western Europe,NA,44.200001
Western Sahara,ESH,28.4
World,OWID_WRL,30.9
Yemen,YEM,20.299999
Zambia,ZMB,17.700001
Zimbabwe,ZWE,19.6
